ADM2_NAME,tahun,bulan,probabilitas_risiko_historis,total_hujan_lag2,total_hujan_lag3,max_hth_lag2,max_hth_lag3,kat_value_lag2,kat_value_lag3,hujan_akumulasi_vegetatif,max_hth_vegetatif,rasio_hujan_lag2,rasio_hujan_lag3,rasio_kat_lag2,rasio_kat_lag3,STATUS_PANEN,Prob_Waspada(%),Prob_Kritis(%),FAKTOR_DOMINAN
MALANG,2026,5,0.2261904761904762,339.33933091490064,449.5617855231036,4.22489975580855,1.7575617229416358,255.21690542514148,254.7884689734728,788.9011164380042,4.22489975580855,1.0694849974165417,1.2542879018080868,0.4867756534294231,0.4849105263169664,✅ AMAN,21.5,0.1,probabilitas_risiko_historis
MALANG,2026,6,0.2261904761904762,186.00153957692532,339.33933091490064,8.548479316639686,4.22489975580855,255.0014373289976,255.21690542514148,525.340870491826,8.548479316639686,0.9374071977005056,1.0694849974165417,0.5022950190185551,0.4867756534294231,⚠️ WASPADA,53.6,0.6,total_hujan_lag2
MALANG,2026,7,0.2261904761904762,130.78124564542648,186.00153957692532,15.0,8.548479316639686,244.68339200170976,255.0014373289976,316.78278522235183,15.0,1.0,0.9374071977005056,0.5171224620199059,0.5022950190185551,✅ AMAN,14.4,0.3,probabilitas_risiko_historis
MOJOKERTO,2026,5,0.3333333333333333,361.3105110734503,468.1142893090317,2.462947032075704,1.511608526469418,266.5572486843282,266.5572486843282,829.424800382482,2.462947032075704,1.1217321328388066,1.2714453794191487,0.6249114937072104,0.6292162135466541,✅ AMAN,35.7,0.0,probabilitas_risiko_historis
MOJOKERTO,2026,6,0.3333333333333333,176.2650447055584,361.3105110734503,6.990598500675924,2.462947032075704,266.5236957778517,266.5572486843282,537.5755557790087,6.990598500675924,0.9890673629172428,1.1217321328388066,0.6434400017482165,0.6249114937072104,⚠️ WASPADA,76.3,0.1,probabilitas_risiko_historis
MOJOKERTO,2026,7,0.3333333333333333,102.72437167672884,176.2650447055584,15.0,6.990598500675924,237.9917200486055,266.5236957778517,278.98941638228723,15.0,1.0,0.9890673629172428,0.6161411967643499,0.6434400017482165,✅ AMAN,36.4,0.1,probabilitas_risiko_historis
NGANJUK,2026,5,0.2857142857142857,366.055980826459,452.8861917805811,2.2782415136338336,0.985067705434984,290.934919309961,290.934919309961,818.9421726070401,2.2782415136338336,1.1201926902032395,1.3169831031459478,0.6713712510438941,0.6711559510323958,✅ AMAN,27.9,0.0,probabilitas_risiko_historis
NGANJUK,2026,6,0.2857142857142857,175.59316134742494,366.055980826459,5.754590984974958,2.2782415136338336,290.93028009645707,290.934919309961,541.649142173884,5.754590984974958,0.9453107134408044,1.1201926902032395,0.6892768996726242,0.6713712510438941,⚠️ WASPADA,73.2,0.4,probabilitas_risiko_historis
NGANJUK,2026,7,0.2857142857142857,120.47163611277917,175.59316134742494,15.0,5.754590984974958,266.26110554628093,290.93028009645707,296.0647974602041,15.0,1.0,0.9453107134408044,0.675397447095558,0.6892768996726242,✅ AMAN,37.2,0.6,probabilitas_risiko_historis
NGAWI,2026,5,0.0952380952380952,340.82441742146625,386.6796998382793,2.79604641168887,0.884572410829394,220.6625096691019,220.6625096691019,727.5041172597455,2.79604641168887,1.0231646898766462,1.1783821907842715,0.4605296317617292,0.4641056659889424,✅ AMAN,1.4,0.0,probabilitas_risiko_historis
NGAWI,2026,6,0.0952380952380952,218.87892149813345,340.82441742146625,4.594241512677266,2.79604641168887,220.6625096691019,220.6625096691019,559.7033389195997,4.594241512677266,1.0204970327092375,1.0231646898766462,0.4728682996743229,0.4605296317617292,✅ AMAN,3.4,0.0,probabilitas_risiko_historis
NGAWI,2026,7,0.0952380952380952,160.96739810043383,218.87892149813345,15.0,4.594241512677266,196.10509669101853,220.6625096691019,379.8463195985673,15.0,1.0,1.0204970327092375,0.452355494843313,0.4728682996743229,✅ AMAN,0.8,0.1,probabilitas_risiko_historis
